source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,agg_level_desc,state_name,state_alpha,year,week_ending,Value,CV (%)
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2014,2014-08-31,70,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2014,2014-09-07,80,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2014,2014-09-14,89,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2014,2014-09-21,97,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2014,2014-06-01,1,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2014,2014-06-08,4,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2014,2014-06-15,11,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2014,2014-06-22,19,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2014,2014-06-29,37,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2014,2014-07-06,73,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2014,2014-07-13,88,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2014,2014-07-20,92,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2014,2014-07-27,99,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT PLANTED,"BARLEY - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,STATE,COLORADO,CO,2014,2014-04-06,19,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT PLANTED,"BARLEY - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,STATE,COLORADO,CO,2014,2014-04-13,29,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT PLANTED,"BARLEY - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,STATE,COLORADO,CO,2014,2014-04-20,44,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT PLANTED,"BARLEY - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,STATE,COLORADO,CO,2014,2014-04-27,61,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT PLANTED,"BARLEY - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,STATE,COLORADO,CO,2014,2014-05-04,81,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT PLANTED,"BARLEY - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,STATE,COLORADO,CO,2014,2014-05-11,90,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT PLANTED,"BARLEY - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,STATE,COLORADO,CO,2014,2014-05-18,97,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT PLANTED,"BARLEY - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,STATE,COLORADO,CO,2014,2014-05-25,97,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT PLANTED,"BARLEY - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,STATE,COLORADO,CO,2014,2014-06-01,98,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT PLANTED,"BARLEY - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,STATE,COLORADO,CO,2014,2014-06-08,100,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2015,2015-06-14,0,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2015,2015-06-21,1,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2015,2015-06-28,6,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2015,2015-07-05,16,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2015,2015-07-12,20,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2015,2015-07-19,43,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2015,2015-07-26,50,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2015,2015-08-02,78,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2015,2015-08-09,91,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2015,2015-08-16,94,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2015,2015-08-23,100,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2015,2015-03-29,0,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2015,2015-04-05,0,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2015,2015-04-12,1,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2015,2015-04-19,4,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2015,2015-04-26,18,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2015,2015-05-03,35,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2015,2015-05-10,52,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2015,2015-05-17,72,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2015,2015-05-24,87,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2015,2015-05-31,92,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2015,2015-06-07,97,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2015,2015-07-19,0,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2015,2015-07-26,5,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2015,2015-08-02,10,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2015,2015-08-09,17,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2015,2015-08-16,25,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2015,2015-08-23,37,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2015,2015-08-30,66,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2015,2015-09-06,92,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2015,2015-09-13,96,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2015,2015-05-24,0,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2015,2015-05-31,0,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2015,2015-06-07,7,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2015,2015-06-14,12,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2015,2015-06-21,25,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2015,2015-06-28,55,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2015,2015-07-05,78,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2015,2015-07-12,87,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2015,2015-07-19,92,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HEADED,"BARLEY - PROGRESS, MEASURED IN PCT HEADED",TOTAL,STATE,COLORADO,CO,2015,2015-07-26,95,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT PLANTED,"BARLEY - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,STATE,COLORADO,CO,2015,2015-03-22,1,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT PLANTED,"BARLEY - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,STATE,COLORADO,CO,2015,2015-03-29,4,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT PLANTED,"BARLEY - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,STATE,COLORADO,CO,2015,2015-04-05,8,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT PLANTED,"BARLEY - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,STATE,COLORADO,CO,2015,2015-04-12,23,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT PLANTED,"BARLEY - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,STATE,COLORADO,CO,2015,2015-04-19,27,
